Song,Artist,Valence,Key,Mode,Danceability,Date
Laugh Now Cry Later,Drake Featuring Lil Durk,0.522,0.0,1.0,0.7609999999999999,2020-08-14
Blinding Lights,The Weeknd,0.33399999999999996,1.0,1.0,0.514,2020-03-20
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",0.826,11.0,0.0,0.9229999999999999,2020-03-13
7 Summers,Morgan Wallen,0.5710000000000001,0.0,1.0,0.466,2021-01-08
Watermelon Sugar,Harry Styles,0.557,0.0,1.0,0.5479999999999999,2019-12-13
Roses,SAINt JHN,0.863,8.0,1.0,0.769,2020-11-20
Break My Heart,Dua Lipa,0.467,4.0,0.0,0.73,2020-03-27
Midnight Sky,Miley Cyrus,0.259,4.0,0.0,0.705,2020-08-14
Adore You,Harry Styles,0.569,8.0,1.0,0.6759999999999999,2019-12-13
Circles,Post Malone,0.5529999999999999,0.0,1.0,0.695,2019-09-06
Mood Swings,Pop Smoke Featuring Lil Tjay,0.26899999999999996,10.0,0.0,0.48,2020-07-03
Popstar,DJ Khaled Featuring Drake,0.45,5.0,0.0,0.8,2020-07-17
Rags2Riches,Rod Wave Featuring ATR Son Son,0.298,5.0,0.0,0.8740000000000001,2020-08-07
Death Bed,Powfu Featuring beabadoobee,0.348,8.0,0.0,0.726,2020-02-08
Blueberry Faygo,Lil Mosey,0.349,0.0,1.0,0.774,2020-02-07
Die From A Broken Heart,Maddie & Tae,0.44299999999999995,9.0,1.0,0.596,2020-04-10
Mood,24kGoldn Featuring iann dior,0.7559999999999999,7.0,0.0,0.7,2020-07-24
Don't Start Now,Dua Lipa,0.677,11.0,0.0,0.794,2019-10-31
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,0.28600000000000003,1.0,1.0,0.49,2020-07-03
The Bones,Maren Morris,0.33399999999999996,11.0,0.0,0.612,2019-03-08
One Margarita,Luke Bryan,0.738,9.0,1.0,0.6409999999999999,2020-03-13
Life Is Good,Future Featuring Drake,0.508,2.0,0.0,0.6759999999999999,2020-01-10
Wishing Well,Juice WRLD,0.0804,9.0,0.0,0.65,2020-07-10
Cardigan,Taylor Swift,0.551,0.0,0.0,0.613,2020-07-24
Smile,Juice WRLD & The Weeknd,0.306,6.0,0.0,0.6940000000000001,2020-07-10
Chasin' You,Morgan Wallen,0.489,7.0,1.0,0.631,2018-04-27
We Paid,Lil Baby & 42 Dugg,0.564,1.0,1.0,0.9259999999999999,2020-05-01
Cool Again,Kane Brown,0.773,4.0,1.0,0.608,2020-04-23
Tap In,Saweetie,0.4320000000000001,10.0,0.0,0.9540000000000001,2020-06-17
Girls In The Hood,Megan Thee Stallion,0.8740000000000001,6.0,1.0,0.821,2020-06-26
Rain On Me,Lady Gaga & Ariana Grande,0.6459999999999999,9.0,1.0,0.672,2020-05-29
Emotionally Scarred,Lil Baby,0.266,6.0,0.0,0.585,2020-02-28
Got What I Got,Jason Aldean,0.303,3.0,0.0,0.512,2019-11-22
The Box,Roddy Ricch,0.642,10.0,0.0,0.8959999999999999,2019-12-06
If The World Was Ending,JP Saxe Featuring Julia Michaels,0.604,1.0,1.0,0.46399999999999997,2019-10-17
Nobody's Love,Maroon 5,0.154,1.0,1.0,0.486,2020-07-24
Why We Drink,Justin Moore,0.7240000000000001,6.0,1.0,0.624,2019-07-26
The Bigger Picture,Lil Baby,0.153,1.0,1.0,0.59,2020-06-12
One Of Them Girls,Lee Brice,0.8,4.0,1.0,0.643,2020-04-10
Lovin' On You,Luke Combs,0.53,4.0,1.0,0.5720000000000001,2019-11-08
My Future,Billie Eilish,0.0875,8.0,1.0,0.444,2020-07-30
I Love My Country,Florida Georgia Line,0.636,4.0,1.0,0.525,2021-02-19
Like That,Doja Cat Featuring Gucci Mane,0.405,4.0,0.0,0.879,2019-11-07
Be A Light,"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",0.264,0.0,1.0,0.509,2020-03-30
Kacey Talk,YoungBoy Never Broke Again,0.773,10.0,0.0,0.877,2020-09-11
Said Sum,Moneybagg Yo,0.27399999999999997,8.0,0.0,0.929,2020-09-18
Bluebird,Miranda Lambert,0.613,7.0,1.0,0.6609999999999999,2019-11-01
I Should Probably Go To Bed,Dan + Shay,0.309,1.0,1.0,0.721,2020-07-31
Lemonade,Internet Money & Gunna Featuring Don Toliver & NAV,0.47100000000000003,1.0,0.0,0.799,2020-08-14
Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy",0.39299999999999996,6.0,0.0,0.5710000000000001,2020-07-24
Bang!,AJR,0.698,1.0,0.0,0.74,2020-02-12
God Whispered Your Name,Keith Urban,0.5,2.0,1.0,0.594,2020-02-27
24,Money Man Featuring Lil Baby,0.45899999999999996,2.0,1.0,0.868,2020-08-14
Toosie Slide,Drake,0.8370000000000001,1.0,0.0,0.8340000000000001,2020-04-03
Breaking Me,Topic & A7S,0.664,8.0,0.0,0.789,2019-12-19
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,0.825,2.0,1.0,0.516,2019-09-13
Girl Of My Dreams,Rod Wave,0.35,4.0,0.0,0.586,2020-04-03
Kings & Queens,Ava Max,0.457,1.0,0.0,0.637,2020-09-18
Pretty Heart,Parker McCollum,0.385,7.0,1.0,0.562,2019-08-30
Dollaz On My Head,Gunna Featuring Young Thug,0.161,0.0,1.0,0.825,2020-05-22
One Night Standards,Ashley McBryde,0.611,5.0,1.0,0.537,2020-04-03
Martin & Gina,Polo G,0.11599999999999999,1.0,0.0,0.8320000000000001,2020-05-15
Happy Anywhere,Blake Shelton Featuring Gwen Stefani,0.669,8.0,1.0,0.5379999999999999,2020-07-24
Got It On Me,Pop Smoke,0.195,2.0,1.0,0.688,2020-07-03
Some Girls,Jameson Rodgers,0.35200000000000004,8.0,1.0,0.431,2018-01-19
After Party,Don Toliver,0.45299999999999996,5.0,1.0,0.629,2020-03-13
3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,0.444,8.0,0.0,0.8370000000000001,2020-05-08
Stuck With U,Ariana Grande & Justin Bieber,0.537,8.0,1.0,0.597,2020-05-08
Conversations,Juice WRLD,0.57,11.0,1.0,0.747,2020-07-10
Caramelo,Ozuna,0.698,6.0,1.0,0.728,2020-06-11
Hate The Other Side,Juice WRLD & Marshmello Featuring Polo G & The Kid LAROI,0.647,6.0,1.0,0.701,2020-07-10
Righteous,Juice WRLD,0.225,0.0,1.0,0.706,2020-07-10
Something Special,Pop Smoke,0.654,7.0,0.0,0.7390000000000001,2020-07-03
21,Polo G,0.5329999999999999,7.0,1.0,0.7829999999999999,2020-05-15
Lonely If You Are,Chase Rice,0.8190000000000001,7.0,1.0,0.6809999999999999,2020-01-24
All I Want For Christmas Is You,Mariah Carey,0.35,7.0,1.0,0.336,1994-11-01
Rockin' Around The Christmas Tree,Brenda Lee,0.898,8.0,1.0,0.589,1964-10-19
Jingle Bell Rock,Bobby Helms,0.8059999999999999,2.0,1.0,0.754,1957-12-02
A Holly Jolly Christmas,Burl Ives,0.888,0.0,1.0,0.6829999999999999,1965-01-01
Roxanne,Arizona Zervas,0.457,6.0,0.0,0.621,2019-10-10
It's The Most Wonderful Time Of The Year,Andy Williams,0.7759999999999999,7.0,1.0,0.24,1963-11-24
Someone You Loved,Lewis Capaldi,0.446,1.0,1.0,0.501,2019-05-17
Memories,Maroon 5,0.575,11.0,1.0,0.764,2019-09-20
Good As Hell,Lizzo,0.535,0.0,0.0,0.682,2019-04-17
Feliz Navidad,Jose Feliciano,0.963,2.0,1.0,0.513,2002-09-24
Dance Monkey,Tones And I,0.513,6.0,0.0,0.8240000000000001,2019-10-17
"Let It Snow, Let It Snow, Let It Snow",Dean Martin,0.701,1.0,1.0,0.451,1959-01-01
The Christmas Song (Merry Christmas To You),Nat King Cole,0.209,1.0,1.0,0.319,1962
"10,000 Hours",Dan + Shay & Justin Bieber,0.43,10.0,1.0,0.654,2019-10-04
Lose You To Love Me,Selena Gomez,0.0978,4.0,1.0,0.488,2020-01-10
Ballin',Mustard & Roddy Ricch,0.244,7.0,1.0,0.809,2019-06-28
BOP,DaBaby,0.836,11.0,1.0,0.769,2019-09-27
Rudolph The Red-Nosed Reindeer,Gene Autry,0.642,8.0,1.0,0.629,1947
Happy Holiday / The Holiday Season,Andy Williams,0.7440000000000001,9.0,0.0,0.505,1963-11-24
No Guidance,Chris Brown Featuring Drake,0.136,1.0,0.0,0.696,2019-06-28
Bandit,Juice WRLD & YoungBoy Never Broke Again,0.425,5.0,0.0,0.474,2019-10-04
Christmas (Baby Please Come Home),Darlene Love,0.36,8.0,1.0,0.325,1963
Panini,Lil Nas X,0.475,5.0,0.0,0.703,2019-09-13
Underneath The Tree,Kelly Clarkson,0.6890000000000001,8.0,1.0,0.509,2013-10-29
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,0.976,1.0,1.0,0.8340000000000001,1947
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,0.639,6.0,1.0,0.878,2019-06-21
Truth Hurts,Lizzo,0.41200000000000003,4.0,0.0,0.715,2019-04-19
Run Rudolph Run,Chuck Berry,0.9570000000000001,7.0,0.0,0.6809999999999999,1986-01-01
(There's No Place Like) Home For The Holidays,Perry Como,0.736,0.0,1.0,0.69,1999-08-20
Heartless,The Weeknd,0.252,10.0,0.0,0.537,2020-03-20
Blue Christmas,Elvis Presley,0.58,4.0,1.0,0.465,1957-10-15
Everything I Wanted,Billie Eilish,0.243,6.0,0.0,0.7040000000000001,2019-11-13
Jingle Bells,Frank Sinatra,0.87,8.0,1.0,0.706,2017-10-06
Like It's Christmas,Jonas Brothers,0.61,1.0,1.0,0.725,2019-11-08
Trampoline,SHAED,0.537,7.0,0.0,0.6890000000000001,2018-09-21
Woah,Lil Baby,0.43,11.0,1.0,0.882,2019-11-08
Futsal Shuffle 2020,Lil Uzi Vert,0.29600000000000004,7.0,0.0,0.8809999999999999,2019-12-12
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,0.42,2.0,0.0,0.517,1966-12-18
Ran$om,Lil Tecca,0.226,7.0,0.0,0.745,2019-08-30
Falling,Trevor Daniel,0.23600000000000002,10.0,0.0,0.785,2018-10-05
One Man Band,Old Dominion,0.478,6.0,1.0,0.706,2019-10-25
Hot Girl Bummer,blackbear,0.685,6.0,0.0,0.782,2020-08-21
Suicidal,YNW Melly & Juice WRLD,0.235,9.0,0.0,0.735,2019-11-22
Lover,Taylor Swift,0.45299999999999996,7.0,1.0,0.359,2019-08-23
On Chill,Wale Featuring Jeremih,0.639,1.0,1.0,0.597,2019-10-11
Even Though I'm Leaving,Luke Combs,0.624,2.0,1.0,0.5539999999999999,2019-11-08
Graveyard,Halsey,0.187,11.0,0.0,0.667,2020-01-17
My Oh My,Camila Cabello Featuring DaBaby,0.38299999999999995,8.0,1.0,0.7240000000000001,2019-12-06
Juicy,Doja Cat & Tyga,0.483,0.0,1.0,0.7859999999999999,2019-11-07
Playing Games,Summer Walker,0.45899999999999996,11.0,0.0,0.726,2019-10-04
Heat,Chris Brown Featuring Gunna,0.483,0.0,1.0,0.619,2019-06-28
Into The Unknown,Idina Menzel & AURORA,0.27399999999999997,10.0,0.0,0.32299999999999995,2019-11-15
VIBEZ,DaBaby,0.777,1.0,0.0,0.768,2019-09-27
Heart On Ice,Rod Wave,0.244,10.0,0.0,0.733,2019-06-14
What If I Never Get Over You,Lady Antebellum,0.34,0.0,1.0,0.5760000000000001,2019-11-15
Camelot,NLE Choppa,0.7609999999999999,7.0,1.0,0.787,2019-09-13
Heartache Medication,Jon Pardi,0.7340000000000001,9.0,1.0,0.621,2019-09-27
Start Wit Me,Roddy Ricch & Gunna,0.408,4.0,0.0,0.8859999999999999,2019-12-06
Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,0.272,1.0,0.0,0.499,2019-09-06
Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",0.517,6.0,0.0,0.76,2019-08-16
Hate Me,Ellie Goulding & Juice WRLD,0.759,8.0,1.0,0.657,2019-06-26
Kinfolks,Sam Hunt,0.883,0.0,1.0,0.569,2020-04-03
Let Me Know (I Wonder Why Freestyle),Juice WRLD,0.38299999999999995,7.0,0.0,0.635,2019-12-07
Remember You Young,Thomas Rhett,0.299,6.0,1.0,0.396,2019-05-31
Death,Trippie Redd Featuring DaBaby,0.613,10.0,0.0,0.802,2019-11-22
223's,YNW Melly & 9lokknine,0.695,0.0,0.0,0.932,2019-08-09
Slide,H.E.R. Featuring YG,0.196,10.0,0.0,0.8270000000000001,2019-09-27
Easy,DaniLeigh Featuring Chris Brown,0.511,7.0,1.0,0.799,2019-05-31
Vete,Bad Bunny,0.526,1.0,1.0,0.8859999999999999,2019-11-21
Baby Sitter,DaBaby Featuring Offset,0.39399999999999996,1.0,1.0,0.852,2019-03-01
Nice To Meet Ya,Niall Horan,0.392,4.0,0.0,0.591,2019-10-04
Yellow Hearts,Ant Saunders,0.695,7.0,1.0,0.866,2019-06-18
Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,0.574,1.0,1.0,0.757,2019-12-06
Candy,Doja Cat,0.209,8.0,1.0,0.6890000000000001,2018-03-30
BEST ON EARTH,Russ & BIA,0.597,5.0,0.0,0.846,2020-01-31
Tusa,Karol G & Nicki Minaj,0.574,2.0,1.0,0.8029999999999999,2019-11-07
Enemies,Post Malone Featuring DaBaby,0.667,6.0,1.0,0.542,2019-09-06
HIGHEST IN THE ROOM,Travis Scott,0.0605,7.0,0.0,0.598,2019-10-04
Bad Guy,Billie Eilish,0.562,7.0,1.0,0.701,2019-03-29
Hot,Young Thug Featuring Gunna,0.5589999999999999,0.0,0.0,0.855,2019-08-16
