Week,Mean,Median,SD,MaxValence,MaxSong,MaxArtist,MinValence,MinSong,MinArtist
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
2021-03-04,0.4932,0.522,0.2016,0.915,Levitating,Dua Lipa Featuring DaBaby,0.0823,You Broke Me First.,Tate McRae
2021-03-11,0.4983,0.522,0.1986,0.915,Levitating,Dua Lipa Featuring DaBaby,0.0823,You Broke Me First.,Tate McRae
2021-03-11,0.4970000000000001,0.506,0.1992,0.915,Levitating,Dua Lipa Featuring DaBaby,0.0823,You Broke Me First.,Tate McRae
2021-03-17,0.4894,0.49,0.2022,0.915,Levitating,Dua Lipa Featuring DaBaby,0.0636,What's Next,Drake
2021-03-24,0.4828,0.4725,0.1983,0.934,Settling Down,Miranda Lambert,0.0636,What's Next,Drake
2021-03-31,0.4782,0.467,0.2038,0.934,Settling Down,Miranda Lambert,0.0636,What's Next,Drake
2021-04-02,0.4765,0.4655,0.2041,0.934,Settling Down,Miranda Lambert,0.0636,What's Next,Drake
